id_evenement,date_heure,ville,zone,id_utilisateur,id_appareil,type_vehicule,energie,station_depart,station_arrivee,distance_km,duree_min,temperature,pluie,pm10,volume_trafic,montant_paiement,moyen_paiement,nom_utilisateur,age,abonnement,genre,risque_accident
1,2025-10-01 00:00,Paris,Sud,192,APP-3143,Velo,Electrique,4,56,4.66,3,2.0,0,16,148,3.93,Mobile,Lucas,29,Premium,homme,2
2,2025-10-01 00:20,Paris,Sud,142,APP-1823,Trottinette,Humaine,33,43,4.24,19,2.3,1,22,174,1.78,Mobile,Nina,29,Premium,femme,3
3,2025-10-01 00:40,Paris,Nord,48,APP-3836,Velo,Humaine,38,35,4.28,13,1.3,1,19,188,5.31,Carte,Lucas,41,Premium,homme,1
4,2025-10-01 01:00,Paris,Est,247,APP-9612,Bus,Electrique,48,34,2.64,22,1.4,1,21,141,1.35,Carte,Hugo,26,Standard,femme,4
5,2025-10-01 01:20,Paris,Est,149,APP-4076,Bus,Humaine,60,24,6.91,7,2.5,0,16,137,3.05,Mobile,Emma,63,Standard,homme,2
6,2025-10-01 01:40,Paris,Centre,199,APP-4243,Velo,Humaine,6,17,2.92,12,2.5,1,18,131,1.99,Mobile,Emma,24,Premium,femme,4
7,2025-10-01 02:00,Paris,Sud,163,APP-7626,Velo,Diesel,14,48,6.38,11,2.0,1,17,105,2.65,Mobile,Lucas,35,Gratuit,homme,3
8,2025-10-01 02:20,Paris,Nord,101,APP-3481,Velo,Humaine,45,18,5.19,19,1.5,1,24,218,3.49,Mobile,Alice,18,Gratuit,femme,1
9,2025-10-01 02:40,Paris,Nord,18,APP-2239,Bus,Electrique,8,39,4.01,18,2.0,0,19,141,2.08,Mobile,Nina,49,Standard,homme,2
10,2025-10-01 03:00,Paris,Est,86,APP-4283,Bus,Humaine,12,57,6.39,15,2.2,1,17,147,4.88,Mobile,Nina,29,Gratuit,femme,3
11,2025-10-01 03:20,Paris,Centre,212,APP-4902,Velo,Diesel,44,43,7.41,19,1.3,1,21,164,5.4,Carte,Emma,18,Standard,homme,2
12,2025-10-01 03:40,Paris,Centre,182,APP-9222,Velo,Humaine,8,28,8.21,16,2.5,1,19,177,1.25,Carte,Leo,30,Gratuit,femme,3
13,2025-10-01 04:00,Paris,Nord,140,APP-5736,Bus,Diesel,9,59,10.47,10,2.1,1,21,154,3.47,Carte,Nina,40,Gratuit,homme,3
14,2025-10-01 04:20,Paris,Centre,233,APP-9021,Velo,Diesel,37,1,11.31,8,2.2,1,23,198,2.84,Carte,Lucas,33,Gratuit,femme,3
15,2025-10-01 04:40,Paris,Est,191,APP-5582,Voiture,Electrique,27,60,9.33,14,2.2,1,22,215,2.36,Mobile,Lucas,20,Standard,homme,4
16,2025-10-01 05:00,Paris,Centre,8,APP-4483,Bus,Diesel,2,2,9.6,16,1.1,1,21,181,4.17,Carte,Hugo,26,Gratuit,femme,2
17,2025-10-01 05:20,Paris,Nord,41,APP-5065,Velo,Humaine,12,59,10.8,26,1.4,1,20,168,4.61,Carte,Alice,18,Standard,homme,1
18,2025-10-01 05:40,Paris,Sud,126,APP-7464,Bus,Diesel,4,32,1.26,13,2.9,1,20,169,5.26,Mobile,Marc,43,Gratuit,femme,2
19,2025-10-01 06:00,Paris,Est,239,APP-9996,Velo,Diesel,43,2,10.29,14,1.4,0,17,159,1.38,Carte,Marc,27,Gratuit,homme,4
20,2025-10-01 06:20,Paris,Ouest,82,APP-9538,Velo,Humaine,20,41,4.13,11,2.3,1,17,83,2.5,Carte,Nina,31,Gratuit,femme,4
21,2025-10-01 06:40,Paris,Sud,24,APP-3970,Velo,Electrique,56,20,5.16,12,1.1,0,21,221,4.92,Mobile,Nina,28,Standard,homme,4
22,2025-10-01 07:00,Paris,Centre,213,APP-6165,Velo,Diesel,5,50,8.21,8,2.0,0,25,246,2.12,Carte,Nina,22,Premium,femme,3
23,2025-10-01 07:20,Paris,Ouest,240,APP-4166,Bus,Diesel,42,17,6.41,16,1.2,0,24,250,3.48,Carte,Alice,22,Premium,homme,2
24,2025-10-01 07:40,Paris,Sud,230,APP-5723,Bus,Diesel,56,53,1.83,12,1.7,1,29,316,5.72,Carte,Hugo,23,Gratuit,femme,4
25,2025-10-01 08:00,Paris,Ouest,136,APP-9819,Bus,Diesel,24,7,3.21,6,2.0,1,27,288,5.86,Carte,Nina,52,Gratuit,homme,4
26,2025-10-01 08:20,Paris,Est,234,APP-8454,Voiture,Diesel,54,9,10.07,10,2.2,1,28,306,1.46,Carte,Nina,43,Standard,femme,4
27,2025-10-01 08:40,Paris,Centre,68,APP-5430,Voiture,Electrique,25,49,11.61,22,2.6,0,22,269,2.19,Carte,Hugo,24,Gratuit,homme,1
28,2025-10-01 09:00,Paris,Centre,87,APP-6198,Voiture,Humaine,42,56,8.96,16,1.8,0,24,295,2.02,Mobile,Leo,32,Premium,femme,2
29,2025-10-01 09:20,Paris,Ouest,35,APP-8020,Trottinette,Humaine,5,31,4.03,6,2.3,0,26,270,2.09,Mobile,Sofia,22,Gratuit,homme,1
30,2025-10-01 09:40,Paris,Ouest,13,APP-1317,Bus,Electrique,2,45,7.67,6,2.7,1,23,236,1.84,Carte,Lucas,25,Standard,femme,2
31,2025-10-01 10:00,Paris,Est,184,APP-3068,Trottinette,Humaine,60,36,11.82,3,1.2,1,17,82,5.8,Mobile,Alice,21,Standard,homme,1
32,2025-10-01 10:20,Paris,Ouest,122,APP-1742,Trottinette,Humaine,49,17,2.07,15,1.8,0,17,105,3.17,Carte,Sofia,33,Premium,femme,3
33,2025-10-01 10:40,Paris,Ouest,151,APP-2023,Trottinette,Electrique,58,55,8.26,11,2.9,0,17,159,1.45,Mobile,Alice,27,Standard,homme,2
34,2025-10-01 11:00,Paris,Ouest,38,APP-6863,Velo,Electrique,24,56,10.07,10,1.9,0,21,138,3.66,Carte,Emma,56,Gratuit,femme,2
35,2025-10-01 11:20,Paris,Centre,125,APP-2094,Trottinette,Diesel,18,20,5.54,5,2.3,0,22,166,4.64,Carte,Emma,19,Gratuit,homme,2
36,2025-10-01 11:40,Paris,Nord,120,APP-8233,Voiture,Diesel,49,58,4.01,9,2.6,1,21,127,3.19,Carte,Alice,30,Gratuit,femme,2
37,2025-10-01 12:00,Paris,Ouest,159,APP-4400,Bus,Electrique,38,59,1.59,17,2.4,1,18,125,4.08,Mobile,Alice,34,Gratuit,homme,4
38,2025-10-01 12:20,Paris,Centre,226,APP-3140,Velo,Electrique,42,56,9.68,15,2.7,1,17,134,1.24,Carte,Hugo,27,Gratuit,femme,2
39,2025-10-01 12:40,Paris,Sud,246,APP-9834,Voiture,Electrique,14,11,7.03,16,2.2,1,16,147,1.72,Mobile,Marc,44,Gratuit,homme,3
40,2025-10-01 13:00,Paris,Centre,133,APP-3154,Trottinette,Diesel,4,1,7.33,17,2.9,1,21,167,5.35,Mobile,Leo,26,Premium,femme,3
41,2025-10-01 13:20,Paris,Sud,154,APP-4346,Voiture,Diesel,31,42,2.29,14,1.8,1,16,117,2.13,Mobile,Hugo,53,Premium,homme,4
42,2025-10-01 13:40,Paris,Centre,87,APP-2407,Voiture,Diesel,52,5,0.39,8,1.0,1,17,156,1.65,Mobile,Leo,32,Premium,femme,4
43,2025-10-01 14:00,Paris,Nord,28,APP-3146,Bus,Humaine,56,56,2.65,19,1.5,0,20,171,4.2,Mobile,Leo,31,Gratuit,homme,4
44,2025-10-01 14:20,Paris,Sud,208,APP-2817,Voiture,Diesel,14,23,10.05,11,1.4,1,20,154,2.31,Carte,Emma,22,Standard,femme,2
45,2025-10-01 14:40,Paris,Sud,147,APP-7818,Voiture,Diesel,41,36,5.79,16,1.9,0,20,164,4.67,Mobile,Emma,26,Standard,homme,2
46,2025-10-01 15:00,Paris,Nord,116,APP-6525,Velo,Diesel,3,17,5.26,8,2.2,1,17,144,5.09,Mobile,Alice,29,Gratuit,femme,4
47,2025-10-01 15:20,Paris,Est,148,APP-4393,Bus,Electrique,44,37,4.82,10,1.7,1,22,205,3.01,Mobile,Lucas,22,Gratuit,homme,3
48,2025-10-01 15:40,Paris,Ouest,210,APP-7839,Bus,Electrique,20,15,0.56,8,1.8,1,18,139,3.18,Carte,Alice,30,Premium,femme,1
49,2025-10-01 16:00,Paris,Sud,29,APP-5200,Velo,Humaine,35,46,10.15,20,1.2,1,22,256,5.6,Mobile,Emma,21,Gratuit,homme,4
50,2025-10-01 16:20,Paris,Nord,197,APP-7929,Trottinette,Humaine,43,48,9.95,17,2.2,1,26,245,3.79,Mobile,Alice,19,Gratuit,femme,2
51,2025-10-01 16:40,Paris,Ouest,195,APP-1018,Voiture,Humaine,48,26,0.35,13,1.5,1,22,236,2.07,Mobile,Sofia,34,Premium,homme,2
52,2025-10-01 17:00,Paris,Sud,150,APP-9660,Voiture,Electrique,45,20,3.69,13,1.5,1,27,278,4.66,Carte,Leo,39,Premium,femme,3
53,2025-10-01 17:20,Paris,Sud,49,APP-2091,Voiture,Humaine,47,48,6.7,15,2.3,1,25,280,3.86,Mobile,Alice,21,Premium,homme,3
54,2025-10-01 17:40,Paris,Centre,146,APP-4379,Trottinette,Electrique,4,3,3.8,8,2.3,1,25,265,1.71,Mobile,Alice,18,Gratuit,femme,2
55,2025-10-01 18:00,Paris,Centre,72,APP-3083,Voiture,Humaine,19,9,5.61,12,2.8,1,27,257,3.98,Mobile,Emma,20,Standard,homme,4
56,2025-10-01 18:20,Paris,Nord,82,APP-9126,Trottinette,Humaine,41,9,4.67,22,2.1,1,29,304,5.58,Mobile,Nina,31,Gratuit,femme,1
57,2025-10-01 18:40,Paris,Nord,66,APP-4170,Voiture,Humaine,57,3,6.15,8,1.5,1,29,321,5.05,Carte,Lucas,28,Premium,homme,2
58,2025-10-01 19:00,Paris,Centre,207,APP-8294,Velo,Humaine,39,50,3.64,17,2.5,1,23,252,1.63,Carte,Lucas,18,Premium,femme,3
59,2025-10-01 19:20,Paris,Ouest,101,APP-1026,Voiture,Diesel,24,25,8.65,4,1.8,0,26,279,4.09,Mobile,Alice,18,Gratuit,homme,3
60,2025-10-01 19:40,Paris,Centre,219,APP-5848,Trottinette,Humaine,55,22,8.74,13,1.9,1,28,297,4.16,Carte,Lucas,20,Gratuit,femme,4
61,2025-10-01 20:00,Paris,Sud,73,APP-2606,Voiture,Diesel,2,51,8.94,14,2.4,0,19,113,1.89,Mobile,Emma,53,Gratuit,homme,2
62,2025-10-01 20:20,Paris,Nord,77,APP-5096,Bus,Humaine,20,53,5.19,19,1.5,1,17,131,4.18,Mobile,Leo,58,Gratuit,femme,4
63,2025-10-01 20:40,Paris,Nord,30,APP-4220,Bus,Diesel,58,38,5.0,17,2.4,1,18,142,4.55,Mobile,Emma,23,Standard,homme,3
64,2025-10-01 21:00,Paris,Sud,173,APP-5751,Bus,Humaine,50,57,3.62,7,2.4,0,20,113,3.29,Carte,Sofia,18,Gratuit,femme,4
65,2025-10-01 21:20,Paris,Sud,153,APP-1847,Voiture,Diesel,28,17,7.4,16,2.6,1,19,142,5.17,Carte,Leo,24,Premium,homme,4
66,2025-10-01 21:40,Paris,Nord,44,APP-6597,Bus,Diesel,47,21,9.74,16,2.6,0,20,146,5.98,Mobile,Marc,19,Gratuit,femme,2
67,2025-10-01 22:00,Paris,Centre,132,APP-7278,Trottinette,Electrique,1,46,0.42,20,2.7,0,16,143,2.64,Mobile,Leo,38,Standard,homme,2
68,2025-10-01 22:20,Paris,Sud,239,APP-2384,Bus,Electrique,6,37,10.57,19,2.0,1,19,177,1.26,Mobile,Marc,27,Gratuit,femme,3
69,2025-10-01 22:40,Paris,Ouest,230,APP-1885,Trottinette,Diesel,44,1,7.24,9,1.1,1,23,178,2.91,Mobile,Hugo,23,Gratuit,homme,2
70,2025-10-01 23:00,Paris,Centre,59,APP-8380,Trottinette,Humaine,19,17,2.0,18,2.5,1,23,202,1.84,Carte,Alice,41,Gratuit,femme,4
71,2025-10-01 23:20,Paris,Centre,244,APP-5151,Voiture,Diesel,21,21,1.01,11,2.2,1,19,127,1.28,Carte,Nina,70,Gratuit,homme,3
72,2025-10-01 23:40,Paris,Ouest,5,APP-4069,Bus,Electrique,11,9,5.01,18,1.8,0,18,149,5.43,Mobile,Emma,19,Premium,femme,2
73,2025-10-02 00:00,Paris,Est,51,APP-4744,Voiture,Electrique,6,23,2.78,24,1.8,1,15,125,5.74,Mobile,Leo,19,Premium,homme,2
74,2025-10-02 00:20,Paris,Ouest,43,APP-5693,Bus,Diesel,39,34,6.23,3,2.5,1,17,147,4.99,Carte,Sofia,23,Gratuit,femme,3
75,2025-10-02 00:40,Paris,Centre,225,APP-1615,Velo,Humaine,7,50,5.1,19,1.6,0,18,117,3.67,Mobile,Emma,50,Gratuit,homme,1
76,2025-10-02 01:00,Paris,Est,182,APP-3285,Trottinette,Humaine,29,47,2.13,9,2.8,1,20,156,4.84,Mobile,Leo,30,Gratuit,femme,1
77,2025-10-02 01:20,Paris,Centre,87,APP-6001,Velo,Diesel,41,28,6.18,18,1.8,1,22,201,5.08,Carte,Leo,32,Premium,homme,2
78,2025-10-02 01:40,Paris,Ouest,211,APP-8545,Trottinette,Humaine,48,58,4.25,19,2.4,1,23,168,3.88,Mobile,Emma,54,Standard,femme,3
79,2025-10-02 02:00,Paris,Ouest,186,APP-6035,Trottinette,Humaine,12,1,10.7,3,1.8,0,20,183,1.31,Mobile,Marc,24,Gratuit,homme,1
80,2025-10-02 02:20,Paris,Est,115,APP-7260,Velo,Diesel,14,2,8.38,10,1.4,1,15,83,2.04,Carte,Nina,67,Standard,femme,1
81,2025-10-02 02:40,Paris,Est,66,APP-1859,Trottinette,Humaine,55,9,10.08,24,1.4,0,21,211,4.81,Carte,Lucas,28,Premium,homme,2
82,2025-10-02 03:00,Paris,Ouest,52,APP-3712,Trottinette,Electrique,42,32,4.03,3,1.4,1,22,187,1.44,Carte,Sofia,18,Gratuit,femme,2
83,2025-10-02 03:20,Paris,Ouest,57,APP-9780,Trottinette,Humaine,24,53,11.47,18,1.1,1,19,181,2.6,Carte,Alice,31,Standard,homme,1
84,2025-10-02 03:40,Paris,Ouest,203,APP-5346,Trottinette,Humaine,39,25,1.35,20,2.0,1,22,188,5.59,Mobile,Alice,25,Gratuit,femme,4
85,2025-10-02 04:00,Paris,Ouest,10,APP-3804,Trottinette,Humaine,34,35,4.53,10,2.2,1,21,140,1.72,Carte,Emma,25,Gratuit,homme,4
86,2025-10-02 04:20,Paris,Centre,58,APP-1514,Voiture,Electrique,3,6,0.64,15,1.7,0,19,103,3.82,Carte,Sofia,56,Gratuit,femme,4
87,2025-10-02 04:40,Paris,Ouest,90,APP-4460,Trottinette,Humaine,30,50,9.14,21,1.3,0,19,114,4.45,Mobile,Leo,29,Premium,homme,1
88,2025-10-02 05:00,Paris,Sud,145,APP-3447,Trottinette,Humaine,50,42,0.66,15,2.5,0,17,146,3.03,Carte,Emma,26,Gratuit,femme,3
